regulatoryGene	targetGene	weight
ARNT2	ANKRD54	0.625351542064373
ATF2	ANO5	0.623721234449289
ATF2	B3GALNT2	0.621152882965744
ATF4	ALOX12P2	0.618986001216186
ARID3A	BBS7	0.618624925287644
ARID2	ANAPC15	0.618458844694007
ARID3B	ARHGEF4	0.616084338309169
ATF6B	ARSB	0.615883549795128
AR	ADAT2	0.6155679665
ATF2	ATP6V0E2	0.615121636879787
ATF6B	AC009403.2	0.614522066243924
ATF1	APLP1	0.612559641675796
ATF6B	AC004980.7	0.612032798292848
ATF6B	AKT3	0.611688710640242
ATF6B	ARL15	0.611075325298964
ATF4	AATF	0.611039184588026
ATF2	BCAS3	0.610691333742855
BBX	ARL5B	0.608202694574432
ATF6B	ADRBK2	0.607270173389619
BACH1	ACOT7	0.603515488279161
ATF1	AP1AR	0.601334546370549
ARID3B	ARHGAP44	0.601168805180197
ATF2	ATP6V0A1	0.599927821628797
ATF2	ARMC10	0.599198202363692
ATF6	AC007246.3	0.598680520906214
ATF1	ATP6V1H	0.596626355742158
BBX	ANKRD35	0.595476406622658
ARID3A	ARID2	0.593953720781374
ATF4	ATPIF1	0.591586201432149
ATF1	AGL	0.59036990073387
ARNT2	ATAD2B	0.588273887883116
ATF6	AP5Z1	0.583715928916612
ATF4	ARHGEF10	0.579790804727682
BBX	ATP2B1	0.578948547304062
ATF2	AP4S1	0.578268755135275
ARNT2	ARHGAP17	0.578135766113308
AR	AP1G1	0.576265034697489
ARID3A	ATG4B	0.575263706138585
ARID3B	ALKBH3	0.572103569306414
ARID3A	BAD	0.571156757414153
ATF6B	ANAPC1	0.56823454668287
ATF4	ACTG1	0.566233435469231
ATF3	AAMP	0.565821064449456
BBX	ANKRD18B	0.564786726805403
BBX	AHCYL2	0.562128667737497
ATF2	ABHD11	0.561588259412981
ATF2	ALDH1B1	0.560011235798682
ATF3	ARID3B	0.558599149267204
BBX	ACTR1B	0.557955250782249
ATF4	BBX	0.555708225945592
BBX	BANP	0.55546564932372
ATF6	ABCA5	0.554204734186519
BACH1	AVL9	0.553894997427138
ATF2	AHCTF1	0.553233492801917
BACH1	ACTR8	0.552365125203827
ATF6	ATF3	0.552203695646191
ARID3B	AC090498.1	0.549384448131689
ARID3A	ABLIM1	0.548699406054585
ATF3	ATG5	0.547996782050778
ATF4	ARFGAP1	0.54786046582787
ATF4	ATG10	0.547200795940513
ARID3A	ATP6V1E1	0.546598862097566
ATF2	ADNP2	0.543483626768809
ATF4	ATAD3B	0.542416996788022
ATF4	ARMCX2	0.541004536236759
ATF1	AP2S1	0.540457138389903
ARID3B	ARMCX1	0.5398774747205
ARNT2	ADAMTS13	0.538114622700807
ATF4	BBIP1	0.536650060420452
BBX	BCAR1	0.536068234412345
ATF6B	ATF7IP2	0.53548423439949
ATF4	ATG9A	0.5338272509989
ATF2	BAG2	0.532767960010448
BBX	ARMC6	0.532408146449033
ATF4	ADCY1	0.530213041344119
ATF3	ACTR1A	0.529670403336946
ARID3B	ALKBH7	0.528902359195005
ATF3	ATXN3	0.527215018704323
ARID3A	ABHD18	0.525421601061432
BBX	ANK2	0.524568822971573
ATF4	ARL16	0.523099792962733
BBX	ALG8	0.521009425349475
ATF4	APBB1	0.520081429159802
ATF4	AP001347.6	0.518290983500118
ATF6	APOOL	0.516961621966857
ATF4	ATAD3A	0.513861003140231
ATF6B	B3GNT7	0.513117438903152
ATF4	AP1M2	0.511761605214382
ATF2	BBS2	0.511559745459076
ATF6	ATAT1	0.510368792136651
ARNT2	ABRACL	0.506518180302676
BACH1	ANKFY1	0.505958917954624
ARID3A	AIG1	0.505413290484801
ARID3B	ASB6	0.504542480988891
ARNT2	AP3M1	0.504534054883921
ARID3A	ARPC1A	0.503289582572355
AR	ADAM12	0.503243905841695
ATF4	ACYP1	0.499188895875839
ATF2	AXL	0.498520043163337
ATF2	ANAPC4	0.497652415841621
BBX	ANKRD6	0.49746882860128
ATF4	ALG5	0.493577740206145
ATF6	ATP1A1-AS1	0.491991158831003
BBX	AMMECR1L	0.491630299173083
ARID3A	ALDOA	0.490472745588143
ATF4	ADK	0.490442771154453
BACH1	AEN	0.490416988342613
ATF4	ARL4A	0.489979045956499
BACH1	AHSA2	0.488721027229398
ATF6B	AP2A2	0.484791186157165
ATF6	AC012146.7	0.484736260859103
ATF6B	ATF7IP	0.483526779518085
ARID2	ANKRD23	0.479889368644402
ATF4	ACOT8	0.47730247932847
ATF6	AP000304.12	0.476413952326438
ATF4	AP000688.29	0.476377988979538
ATF4	ARFGEF1	0.475811793984015
ATF6B	ARHGEF19	0.474466212375745
ATF4	ACTC1	0.474331692612802
ATF4	AIDA	0.473725857750804
ARID3A	ANXA3	0.473370305214656
BBX	ANOS1	0.472537509646992
ATF6	AIFM2	0.471955156083978
BACH1	APBB3	0.471954164565575
ATF6	BAG1	0.471286976490598
ATF3	AC004076.9	0.470950591202661
BACH1	ANKRD23	0.469702712386391
ATF4	ARFGEF3	0.469647363431173
ATF4	ANKLE2	0.469201846131529
ATF6	ARHGAP10	0.46878069092358
BBX	ARFGAP2	0.467274371406338
ATF3	ANKS1B	0.465913078753077
ATF4	ACBD3	0.464984073335869
ATF6	ARFGEF2	0.462885857062181
ATF4	ALAD	0.459916582716417
ARID2	ATP13A3	0.459547244890103
ATF4	ADGRL2	0.457911055939451
ARID3B	ACVR2A	0.457466837598296
BBX	ARG2	0.457042471315971
ATF2	ARMC5	0.454413849053218
AR	ABTB2	0.454174620346039
ATF4	ATP6AP1	0.452935184422522
ARID3B	ANKS1B	0.452635737344307
ATF6B	AC022182.2	0.452432303083428
AR	AZI2	0.451887239079793
BBX	ASPH	0.449847011953296
ATF4	AC009245.3	0.44796590293616
BBX	ATP13A3	0.447965101163284
ATF4	ANKRD9	0.447640438335406
ATF4	ACTA1	0.447632180193239
ARNT2	BACH1	0.447319543647691
ATF3	AP3S1	0.446643757053154
ATF6	AR	0.444665114860808
ATF6B	ATP5L	0.444144848337744
ATF6B	ASAP2	0.44372991742697
ATF6B	ATPAF1	0.442536057569038
ATF1	AMBP	0.442013710726524
ARID3B	ADPRHL2	0.441518591387117
ARID3A	ADD1	0.440466936653385
ATF4	AC024560.3	0.44046162669673
ARNT2	ADGRV1	0.439846019340018
ATF1	ARID3A	0.43961743738833
ATF6	ALPL	0.439582822824227
ATF3	ATRN	0.439160832856241
BBX	AIDA	0.43906309583262
BBX	ATMIN	0.438815908497405
ATF6	ATG16L2	0.43819738410346
ATF6B	ADIPOR1	0.437112853464573
BBX	AHCYL1	0.434441709423344
ATF1	ACTN3	0.434349761368165
AR	BBS9	0.433682529120095
BBX	ARID1B	0.433643896831592
ARID3B	ARMCX4	0.432833143229423
ATF6	ATG4C	0.430951125643404
BBX	ALCAM	0.430724883879251
AR	ADAMTS8	0.43047494484403
ARID2	ARHGAP1	0.430416580908133
BACH1	ADPGK	0.429570073754031
ATF4	ACD	0.429410476627249
ATF4	ABHD17B	0.427315981587655
ARID3A	ACAA2	0.426602299802697
ATF4	AFAP1L1	0.426418354506447
ATF4	ARMC9	0.426372227365568
ATF4	ATP6V1A	0.426142405463474
ATF4	AMOTL1	0.426125187757161
BACH1	AGBL5	0.424336765923038
ATF4	ABHD8	0.424153179797328
ATF4	AGFG1	0.423733706033619
BBX	AFTPH	0.423202034041918
ATF4	ANKRD13D	0.423085971516987
ATF4	AC141586.5	0.422726148573571
BACH1	AARD	0.422451025261094
ATF4	ARAF	0.422229815568243
ATF4	B4GALT3	0.421525302673208
ARID3B	ADGRA3	0.421418266090731
ATF1	ARMCX1	0.420962255468778
BBX	ARHGAP23	0.419918886587498
ARID2	ANAPC16	0.419352210989576
ATF1	ABCC1	0.419313974087713
ATF4	AXL	0.419298800928692
ATF4	AAK1	0.419225247961309
BACH1	ANXA11	0.417854479008754
ATF1	ATL3	0.417679640912376
ATF2	B4GALT4	0.416290468665597
BACH1	ANKRD13C	0.416198616671686
ATF6	ARRB2	0.415651984900932
ATF2	BANF1	0.41561116585849
ATF4	ASUN	0.415595529315274
BBX	ABL1	0.414653358022001
AR	ADGRB1	0.414649196110071
ARID3A	ACTR2	0.414501892288707
ARID3A	ACAT1	0.414375538879404
ATF6	APTR	0.414053449952149
BBX	ATG7	0.413114304794165
ARID3A	ARMT1	0.412936030529927
ATF4	ADIPOR1	0.412375899077544
ARID2	ARMC5	0.412348800948087
ATF6	ABTB2	0.412057125788577
ATF1	B3GALT1	0.411628394862756
ATF2	ATP1A2	0.411403789504898
ATF4	ASPM	0.411230553938242
ARID3B	ABHD18	0.411049741635908
AR	ADAMTS20	0.410941258117453
AR	ALG6	0.410820113106935
ARID3A	AC005307.3	0.41036941923958
BBX	ATF2	0.410334780625732
ATF3	ADAMTS16	0.409724373531057
ATF4	AEN	0.409294160281016
ATF2	AFG3L1P	0.409155391355609
ATF6	ATF4	0.408936873667905
ATF4	ADD1	0.408859602700738
ATF3	ASCC2	0.408795799857324
ATF4	ALG6	0.408628666599105
BACH1	AC074363.1	0.40824642610638
ATF6	ASAP2	0.407144756700001
BBX	ANKRD29	0.40693491009726
ARID3B	AACS	0.4057793173004
ARID3A	ANP32B	0.404486836792632
ATF4	ALDH1B1	0.403235537650994
ATF1	ALDH3A2	0.402195958642009
BBX	BCAT1	0.401971032213117
ATF1	BCAT2	0.401757035888108
ATF6	ASCC3	0.401582129568482
ARID2	ARL6	0.401270005129695
ATF2	ALS2	0.400935447235403
ATF2	BARD1	0.400749221685943
ATF1	AC005042.4	0.400385881357184
ATF1	ANXA2	0.400339790043143
ATF2	ACTA1	0.400201065764291
BACH1	AMZ2	0.400124135149145
ARID3A	ASB1	0.39979631381499
ARID2	AKR7A2	0.399751926996718
ATF4	ARMC1	0.399264454796426
ATF1	ANKRD13C	0.399182770542814
ARID3B	ATP8B2	0.39893057562031
ATF4	ARPC5L	0.398743956025224
AR	ACTR10	0.398717783361084
ATF4	AC009120.6	0.398622454189903
ARID2	APTX	0.398431859973626
AR	ADAMTS13	0.398372759313467
ARID2	AC093323.3	0.398355438264127
ATF4	ATP5F1	0.397888927179339
ATF6	ABCC1	0.397220541224859
ATF3	ATP5D	0.397184759839127
ATF3	ASF1B	0.397003061409502
BACH1	ASB6	0.396132255730757
ATF4	ABHD11	0.396092335613565
BACH1	ARL17B	0.396024740342849
ARNT2	ACADM	0.394508906858641
ATF4	ARHGAP26	0.394456368772657
ATF6B	ATL2	0.394286163951631
ARID3A	ADAM23	0.394252023962263
ATF4	ALMS1	0.393745043121978
ATF4	ACTN3	0.39331390811727
ATF4	ANAPC7	0.393140963653302
ATF4	ACO1	0.392246404412828
BBX	BAZ2A	0.392207519394192
ATF6	APBA3	0.390958489077926
ATF3	ARMCX4	0.388817259195802
ARID3B	ANO9	0.387580060582258
ATF4	ACBD6	0.386355492816436
ATF4	ADNP	0.386065746531357
ATF6B	B2M	0.385346854647536
ATF1	AP2B1	0.384613677027048
ATF6	ACAA1	0.38398715707665
ATF6B	AGBL5	0.383912345334183
ATF4	BCAP29	0.382960399750491
ATF2	AC009245.3	0.382697910833137
ATF1	AKAP12	0.380768616712685
AR	ACO2	0.379950805754382
BACH1	ATG3	0.379912839053066
ATF6B	ANKRD37	0.379511049454699
ATF6	AFTPH	0.379294022693367
BBX	ABR	0.379129954726883
BACH1	ADGRL3	0.378635812810502
BBX	ANKZF1	0.377722997394573
ATF4	AGPS	0.37708478564325
ARID3B	ARCN1	0.376537433785279
ARID3B	ASCC2	0.375900977572428
ARID2	ARID3A	0.375107205029133
ATF4	ABCF2	0.374460184116219
ATF6	AKIP1	0.374435658333605
ARID2	ALDH9A1	0.374011390971644
ATF4	ARMT1	0.373894649852271
ATF4	AMMECR1L	0.373491530170344
ATF4	ATP6V0A1	0.373144152306296
ATF1	B4GAT1	0.373043759173469
ATF4	AP1B1	0.372989448576262
ATF4	AC004453.8	0.372974755865148
ATF4	APBB3	0.372903135944626
AR	ARHGDIA	0.372897868615401
BACH1	ASAP1	0.371716809580325
BACH1	ARHGAP1	0.371613067402422
BBX	ARPP19	0.371362068961857
ARID3A	APTX	0.370684564290995
ATF1	ATR	0.369981605274461
ATF4	ABCE1	0.368964678561596
ATF1	AC013461.1	0.368550624366819
BACH1	ADI1	0.36845486825584
BACH1	ACSM3	0.368298761522543
ARID3A	ARFRP1	0.368052050317325
ARNT2	AMDHD2	0.367943516692465
ATF2	AIF1	0.367937234079184
ATF6	ANXA4	0.36783996192874
ATF6	ALDH3A2	0.367010179780679
ARID3B	ADAMTS20	0.366811032455512
BACH1	ARNT2	0.366694148408705
ATF2	ATXN2L	0.366406399893669
BBX	ANXA7	0.366387249698385
ATF1	ATRNL1	0.365427902151132
ATF1	AKTIP	0.36521450172506
ARID2	APBA2	0.365170064958675
ARID2	ALKBH2	0.364851388311783
ATF1	ATP5G1	0.364740686995713
ATF6B	ANOS2P	0.364564683524111
BACH1	ASIC2	0.364405056462304
BBX	ADRM1	0.363579313508492
ATF6	ASPHD1	0.36304088601449
BACH1	BCKDHB	0.362707745379776
ATF6	ADAM17	0.362655032375135
ARID3A	AC093323.3	0.361787959689887
BBX	AP000688.29	0.361673616714909
ARID3A	AFMID	0.360560227704912
ATF1	ATE1	0.359982799829139
AR	AP000487.5	0.35959818581922
ATF6	AMBP	0.359589006356039
ATF6	APOC1	0.359546055627555
BBX	AADAT	0.359056965443633
BACH1	AGGF1	0.357792413115733
ARNT2	AASDH	0.357131271506582
ATF2	ALG14	0.357000781128583
ATF6	ATP2C1	0.355108855530308
ATF4	ANGEL2	0.354977880744831
ARID2	AEBP1	0.353678340161412
BBX	ATHL1	0.353632832427404
AR	AIF1L	0.351979515368684
BACH1	AUH	0.351921719042647
ATF6	AC007969.5	0.351477983371663
ATF4	ARHGEF10L	0.351144650505069
ATF6B	ABHD2	0.35078456466865
ATF4	ATMIN	0.350659577023396
BBX	ARL6	0.350540521809619
BACH1	ARV1	0.349080737244569
ATF2	ANKRD17	0.349071856302514
ATF4	ATP1A1	0.348285148744317
ATF4	AC022182.2	0.347297220756533
ATF4	AC009403.2	0.346767165170679
ATF6B	ANKZF1	0.346423267912153
ARNT2	APEH	0.346361742997216
ATF2	ADAL	0.346015213089839
ARID3B	ART5	0.346009459851685
BACH1	BCAM	0.345840277888817
BBX	ABCA7	0.345528556888106
ATF4	BCCIP	0.345427203297788
ATF6B	ACSL4	0.345010354083049
ATF4	ARFRP1	0.344914406612715
ARID3A	ARHGEF39	0.344695739289034
ATF4	ALG2	0.344625986953386
ATF4	AFF4	0.343386241401929
ATF2	ARL1	0.34193216714481
ATF4	ARHGEF12	0.341225402089178
ARID3B	ATP2B4	0.341146463245838
ATF4	ADD2	0.341032372444338
ARNT2	ANTXR1	0.340489194247895
ATF4	AP1M1	0.339665252893913
ARID3B	BAP1	0.339415893482826
ATF4	ARHGAP21	0.338366010194844
ATF6	ATF2	0.338115079056155
ATF4	ANKRD6	0.33737151571981
ATF4	ARHGEF39	0.337274036657629
ATF6	ALAS1	0.337204138416743
BBX	BBIP1	0.337052620456128
ARID2	ARL6IP6	0.337033484583669
ARID3A	ACP2	0.336442013561508
BBX	ASPSCR1	0.336190903656585
ATF6	ALS2	0.336118160584548
ATF4	AK2	0.336090805594752
ATF6B	AEBP2	0.335780305585161
ATF6	AKAP13	0.335504197606107
ATF2	ATP6V1C2	0.335142759318181
ARID2	ASNSD1	0.334325548070434
ATF6B	AKAP13	0.333796576006235
ATF4	ASAP1	0.33372448908622
ARID2	B4GALT5	0.333303108527384
ARID2	ARHGAP32	0.333235865402314
ATF4	ACP2	0.333010687027591
ATF6	ACTN4	0.332800662660727
ARNT2	APOO	0.332714530638967
ATF6B	ALDH18A1	0.332578999301722
ARID2	ARHGEF12	0.332282311276411
ATF6B	AC009120.6	0.332083006529701
ARID3B	AURKA	0.331230620302313
ATF4	AC116614.1	0.330419699250313
ATF6B	AP002856.5	0.329938685953053
ATF6B	ATXN7L3B	0.329545003140175
ATF2	ALAS1	0.329390889201146
BBX	ATR	0.32878523793502
AR	AEBP2	0.328691346831087
ATF3	ARHGAP21	0.327904611653297
BACH1	ATG14	0.327736987449814
ATF4	AP4S1	0.326703008758854
ATF2	AHCYL1	0.326624479515281
ATF4	AXIN1	0.325716761835599
ATF4	AASDHPPT	0.325286545700949
ARID3B	ABCC5	0.324800777448266
ATF4	ARMCX3	0.324238557437684
ARID3A	ACOT13	0.323898100400753
ARID3A	ATP6V1C1	0.323722100636231
ATF2	ASPHD1	0.323489614268541
ATF3	ARHGEF2	0.323451313131403
ATF6B	ATP6V1C1	0.322675428079648
ATF6	AKIRIN2	0.322426718762565
ATF4	BAG2	0.322110196966976
ATF6	B3GLCT	0.3219978231689
ARNT2	AAAS	0.321729333325667
ATF4	ABCA7	0.321466795114565
ATF6B	ANKS3	0.321042591260176
ATF4	ASNSD1	0.320342528258113
ATF4	AGPAT4	0.320310013353373
ATF1	AMMECR1	0.320249745741335
ATF4	ANKS1A	0.31955302802844
BACH1	BAMBI	0.318836392295906
ATF4	ARHGAP11B	0.318694568371634
ATF4	AC005042.4	0.318548115642585
ATF4	BBS7	0.318087995231566
ATF4	ANXA4	0.317692318164334
ARID3A	AC012358.8	0.317133661270964
BBX	ACLY	0.316774402605109
ATF4	ADAM10	0.316662450555912
ATF6	AP1B1	0.316649273186205
ATF4	ARSB	0.315954167970791
BACH1	ARID1A	0.315930683873054
ATF4	AKTIP	0.3159182962388
ATF4	ADD3	0.315182268385147
ATF6	ATRN	0.314971542515913
ATF4	ARHGDIA	0.314540492701298
ATF4	ACIN1	0.314239718584239
BBX	ASRGL1	0.314168560603538
ATF4	ATP5SL	0.313878748080213
AR	ADCK5	0.313745001317765
ARNT2	AGPAT2	0.313531947170419
ATF4	AK3	0.313329613297721
BBX	ALKBH2	0.3129066759711
BBX	A2M	0.312629558414484
ATF4	ACOT9	0.312547390231862
ATF6	BBS9	0.312408565163029
ATF3	AKAP8	0.312333602308846
ARID3A	ASNSD1	0.311913050269343
ATF1	ACVR2A	0.311895965150286
ATF2	ABCF2	0.311595060829622
ATF1	ANO6	0.311214739811269
BBX	ALAS1	0.31108287962216
ARID2	ARHGAP11A	0.310948184962657
BBX	ARPC2	0.310895748034717
ATF3	AMDHD2	0.310478130600514
ATF6	ARL17B	0.310446230805306
ATF6B	ARL5A	0.309861727825809
ARNT2	AMBRA1	0.309795333987965
BBX	ATP6V0A2	0.309598256788085
ATF6B	AMT	0.309577448409983
ARNT2	ANKRD36	0.309227867753918
ARID3B	AP4M1	0.309185061476497
ATF4	ABCC5	0.308781626009011
BACH1	ACVR2B	0.308726817649545
ATF4	ALKBH3	0.308178267784649
ATF2	AC093838.4	0.308010093588091
AR	ADIPOR2	0.307732517307833
ATF1	ACTR5	0.307296638365438
ATF4	ATP5S	0.306958534079632
BACH1	ARHGAP11B	0.305945639350582
ARID2	ATP2B4	0.30507430271764
ATF4	ALDH1A1	0.304962797135768
BBX	ANKRD18CP	0.304747139124292
ATF4	ATP6V1D	0.304388908409864
ATF2	AC012358.8	0.304253255750903
ARID3B	ACYP1	0.30411931191546
BBX	ACSL3	0.30359628489705
AR	AIMP1	0.303122339721375
ATF4	ATP1B3	0.303064172981774
ARID3A	ACTR5	0.302179571576199
ARID3B	ATP9B	0.301952277049013
ARID2	ACVR1	0.301028222227068
BACH1	ACO1	0.300345765081197
ATF6	ADAMTS1	0.300336518572448
BBX	BAZ2B	0.300215706762932
BBX	ADNP	0.300148270578216
ATF1	ACTL6A	0.29998134649004
ATF4	ACTN4	0.299276023903613
ATF1	AACS	0.298245650342498
AR	ANKRD27	0.298072027260381
ATF4	ARID1A	0.298037228421908
ARID2	AC093838.4	0.297485023808332
ATF6	ACYP2	0.297107904911342
AR	ABHD5	0.296904381948312
ATF6B	ALG1	0.296566002689993
BBX	ANO10	0.296272634018209
BACH1	ATOX1	0.296132344071242
ATF6B	ACTL6A	0.295811401299864
ARID3A	ALAD	0.295791869021557
ATF3	ANKRD50	0.294668760302943
ARNT2	ADSS	0.293400108378229
ATF4	ARL6IP6	0.293024957200638
ATF1	APH1B	0.292865048858479
ATF3	AARS	0.292847513602284
BBX	BAIAP2L1	0.292605457134853
ATF4	ATAD2B	0.292434972034072
ATF4	BAMBI	0.292036206668974
BBX	ASPHD1	0.291483264918796
BBX	ARHGEF10L	0.291331104367031
ATF6	AKAP8L	0.291001799449722
ATF4	ARHGAP17	0.290980521851082
ARID3B	AKAP8	0.290971672609821
ARID2	ARVCF	0.290404536201406
ATF1	AP001347.6	0.290117968727202
ARID3A	ATRNL1	0.289803409747895
ATF2	ABHD3	0.289728861507048
ATF4	AP1G1	0.289308753169998
ATF3	ASH2L	0.289239291989589
BBX	ACTR10	0.289192010681029
BBX	AGPAT5	0.288944383488184
ATF4	AGPAT2	0.288570991306064
ATF6B	ASF1A	0.28855516606546
ATF2	ATG12	0.288460742223056
ARID3A	ANKRD10	0.287381193059325
ARID2	ATG7	0.286920392569364
ATF4	ATP5B	0.286571978456834
ARID2	ART5	0.286159314071969
ATF4	AARD	0.286001756925417
ATF2	APLP1	0.285899902396562
ARID3B	ATE1	0.28579314187598
BBX	AP000304.12	0.28579048870333
ARID3A	ABCD4	0.285703825856987
ATF4	ANAPC15	0.285342956381111
ATF1	ATM	0.28516798493715
ATF6	BCAS2	0.284948502835251
ATF4	AC005062.2	0.284419566028737
ATF2	AKIRIN1	0.284188417486743
ATF4	ADAR	0.283670688684585
ARID3B	APPL1	0.283668987880627
ARID2	ATOX1	0.283325693509903
ATF4	ADAM23	0.283173349376423
ATF1	AMT	0.283102366242782
BBX	AP1G2	0.282824782983283
ARNT2	ARIH1	0.282208893402091
ATF4	B3GALT1	0.281531515072727
ARID3A	AGGF1	0.281296471185658
AR	ACAA2	0.280910926116519
ARID2	ACVR2B	0.280540941597645
ATF4	APEX1	0.280101849981043
ATF6B	AMMECR1	0.280034228712621
ATF4	ALG14	0.279480104918135
ATF2	AHNAK	0.279290841886199
ATF4	ACSM3	0.278945021152605
ATF4	ATP11A	0.278784571081028
ATF1	ALG1	0.278285189537938
ARNT2	ADAL	0.278258013713314
ATF6B	ATP11C	0.277955666609287
ATF1	ABHD3	0.277761061777189
ATF1	AIF1	0.277759478569226
ATF4	ATP6V0A2	0.277605090289269
ATF1	AUP1	0.277383332870221
ATF6	ARF4	0.277286177427671
ARNT2	B4GALT7	0.277286046291622
ATF2	ANAPC13	0.277117611020635
ATF1	ALG14	0.276346675125613
ATF1	ANXA11	0.276294696824141
BACH1	ARHGAP11A	0.276257070801917
ATF4	APLP2	0.275846958986325
ARNT2	ATXN7L3B	0.275596793415897
ATF6	ARNT2	0.275371242772518
ATF4	ACAT2	0.274778162037963
ATF2	ABI2	0.274398794750725
ATF2	ANO8	0.273781316335208
BACH1	ASPSCR1	0.273524198847804
ARNT2	ARPC1B	0.272696887685359
ARID2	ATP6AP2	0.272534207007821
ARID2	ARPP19	0.272391592099407
ATF6	ACTR6	0.272334766571698
BBX	AFF1	0.272309645503022
ATF4	ANO9	0.272249298943784
ATF4	ATP6V0B	0.271880760088824
ARID3B	BASP1	0.271872038446207
ATF4	ACOT13	0.271855757984774
ATF4	ACTR3	0.271836398957768
ATF4	ARL5A	0.271632362692841
ATF4	ATAD5	0.271624317495484
ATF1	ACAP2	0.271575514093395
AR	ATP5E	0.271439536954671
ATF4	ATP6V1C2	0.271418552465458
ATF6	ANKS1A	0.270869277829352
ATF4	AURKAIP1	0.270686613021995
ARNT2	ADAM22	0.270168868780741
ATF4	ACACA	0.270105876952879
ATF6	API5	0.269835085108319
BBX	ANO5	0.26972970021869
AR	ARAP3	0.269708136593538
ARID2	AAMDC	0.269512546809118
ARID2	ANKRD29	0.269177261933106
BBX	AURKB	0.268789808005087
ATF2	ALG2	0.268165059185949
BBX	ATAD1	0.267950891010684
ATF2	ARMCX3	0.267851430388339
ATF4	ADGRB1	0.267756751417496
BBX	ANK3	0.267134241099187
ATF4	ANAPC5	0.2671138262878
